"","pos","last","first","numfirstlast","firstlast","index","player.id","woi.id","pC","pL","pR","pD","pG","DOB","Height","Weight","Shoots"
"1",NA,"","",""," ",1,1,"xxxxxxxNA",0,0,0,0,0,NA,NA,NA,NA
"2","C","Aalto","Antti","[TSN] Antti Aalto","Antti Aalto",2,2,"aaltoan75",0,0,0,0,0,"1975-03-04","6-1","210","L"
"3","LR","Aaltonen","Juha-Matti","[TSN] Juha-Matti Aaltonen","Juha-Matti Aaltonen",3,3,"aaltoju85",0,0,0,0,0,"1985-06-04","6-0","180","R"
"4","C","Aaltonen","Miro","[TSN] Miro Aaltonen","Miro Aaltonen",4,4,"aaltomi93",0,0,0,0,0,"1993-06-07","5-10","172","L"
"5","R","Abbott","Spencer","[TSN] Spencer Abbott","Spencer Abbott",6,5,"abbotsp88",0,0,0,0,0,"1988-04-30","5-9","170","R"
"6","RL","Abdelkader","Justin","[TSN] Justin Abdelkader","Justin Abdelkader",9,6,"abdelju87",0,0,0,0,0,"1987-02-25","6-1","219","L"
"7","D","Abeltshauser","Konrad","[TSN] Konrad Abeltshauser","Konrad Abeltshauser",12,7,"abeltko92",0,0,0,0,0,"1992-09-02","6-5","225","L"
"8","LR","Aberg","Pontus","[TSN] Pontus Aberg","Pontus Aberg",14,8,"abergpo93",0,0,0,0,0,"1993-09-23","5-11","189","R"
"9","L","Abid","Ramzi","[TSN] Ramzi Abid","Ramzi Abid",16,9,"abidxra80",0,0,0,0,0,"1980-03-24","6-2","210","L"
"10","R","Abney","Cameron","[TSN] Cameron Abney","Cameron Abney",21,10,"abneyca91",0,0,0,0,0,"1991-05-23","6-5","200","R"
"11","F","Acciarai","Noel","[CAP] Noel Acciarai","Noel Acciarai",22,11,"acciano91",NA,NA,NA,NA,NA,"1991-12-01",NA,NA,NA
"12","D","Acolatse","Sena","[TSN] Sena Acolatse","Sena Acolatse",23,12,"acolase90",0,0,0,0,0,"1990-11-28","6-0","200","R"
"13","C","Acton","Will","[TSN] Will Acton","Will Acton",25,13,"actonwi87",0,0,0,0,0,"1987-07-16","6-1","199","L"
